Minor,9/20/2018 10:18:55,9/20/18 10:18,0:00:02,BLRDME-MCM-O-I614-01,Non service-affecting,DOC-1-1,DOC Action: Channel Delete In Progress,CHDEL_IP,No,No,Processing,DOC Channel Delete In Progress,SP-2 | Dual CPU,No
Minor,9/20/2018 10:18:57,9/20/18 10:19,0:01:01,BLRVNG-MCN-O-I614-01,Non service-affecting,DOC-1-1,DOC Action: Channel Delete In Progress,CHDEL_IP,No,No,Processing,DOC Channel Delete In Progress,SP-2 | Dual CPU,No
Minor,9/20/2018 10:18:58,9/20/18 10:18,0:00:00,BLRJYN-MCM-O-I614-01,Non service-affecting,OPTMON-3-14-8,Gauge Threshold Crossing Alert Summary,T_TSUM_OTS,No,No,Performance,Threshold Crossed,ESAM | C-Band w/OSC | 1xSFP,No
Minor,9/20/2018 10:18:59,9/20/18 10:18,0:00:00,BLRDME-MCM-O-I614-01,Non service-affecting,OPTMON-1-7-6,Gauge Threshold Crossing Alert Summary,T_TSUM_OTS,No,No,Performance,Threshold Crossed,ESAM | C-Band w/OSC | 1xSFP,No
Minor,9/20/2018 10:19:23,9/20/18 10:19,0:00:35,BLRBID-MCN-O-I614-01,Non service-affecting,OPTMON-2-11-5,Gauge Threshold Crossing Alert Summary,T_TSUM_OTS,No,No,Performance,Threshold Crossed,WSS Flex | C-Band w/OPM | 9x1,No
Major,9/20/2018 10:19:29,9/20/18 10:20,0:01:21,BLRDME-MCM-O-I614-01,Service-affecting,OPTMON-1-9-22,Loss Of Signal,LOS_OTS,No,No,Communication,Signal Fail,WSS Flex | C-Band w/OPM | 9x1,No
Minor,9/20/2018 10:19:47,9/20/18 10:20,0:00:33,BLRDME-MCM-O-I614-01,Non service-affecting,DOC-1-2,DOC Action: Channel Add In Progress,CHADD_IP,No,No,Processing,DOC Channel Add In Progress,SP-2 | Dual CPU,No
Minor,9/20/2018 10:19:48,9/20/18 10:19,0:00:10,BLRBID-MCN-O-I614-01,Non service-affecting,OPTMON-1-11-5,Gauge Threshold Crossing Alert Summary,T_TSUM_OTS,No,No,Performance,Threshold Crossed,WSS Flex | C-Band w/OPM | 9x1,No
Minor,9/20/2018 10:19:48,9/20/18 10:20,0:00:29,BLRBID-MCN-O-I614-01,Non service-affecting,DOC-1-1,DOC Action: Channel Add In Progress,CHADD_IP,No,No,Processing,DOC Channel Add In Progress,SP-2 | Dual CPU,No
Major,9/20/2018 10:19:58,9/20/18 10:19,0:00:00,BLRJYN-MCM-O-I614-01,Service-affecting,OPTMON-1-10-5,Loss Of Signal,LOS_OTS,No,No,Communication,Signal Fail,WSS Flex | C-Band w/OPM | 9x1,No
Minor,9/20/2018 10:19:58,9/20/18 10:20,0:00:30,BLRVNG-MCN-O-I614-01,Non service-affecting,DOC-1-1,DOC Action Failed: Delete,DELCMDFAIL,No,No,Processing,Delete Command Fail,SP-2 | Dual CPU,No
Major,9/20/2018 10:19:59,9/20/18 10:19,0:00:00,BLRJYN-MCM-O-I614-01,Service-affecting,OPTMON-3-9-5,Loss Of Signal,LOS_OTS,No,No,Communication,Signal Fail,WSS Flex | C-Band w/OPM | 9x1,No
Major,9/20/2018 10:19:59,9/20/18 10:20,0:00:06,BLRJYN-MCM-O-I614-01,Service-affecting,AMP-2-4-8,Shutoff Threshold Crossed,STC_OTS,No,No,Communication,Signal Fail,MLA3 | C-Band,No
Major,9/20/2018 10:19:59,9/20/18 10:19,0:00:00,BLRJYN-MCM-O-I614-01,Service-affecting,AMP-2-4-8,Input Loss Of Signal,IN_LOS_OTS,No,No,Communication,Signal Fail,MLA3 | C-Band,No
Major,9/20/2018 10:19:59,9/20/18 10:19,0:00:00,BLRJYN-MCM-O-I614-01,Service-affecting,OPTMON-2-11-5,Loss Of Signal,LOS_OTS,No,No,Communication,Signal Fail,WSS Flex | C-Band w/OPM | 9x1,No
Minor,9/20/2018 10:20:03,9/20/18 10:20,0:00:25,BLRVNG-MCN-O-I614-01,Non service-affecting,DOC-1-1,DOC Action: Channel Delete In Progress,CHDEL_IP,No,No,Processing,DOC Channel Delete In Progress,SP-2 | Dual CPU,No
Critical,9/20/2018 10:20:06,9/20/18 10:20,0:00:38,BLRBID-MCN-O-I614-01,Service-affecting,SNC0-1-2,SNC Unavailable,SNCU,No,No,Processing,Supporting Resource Unavailable,SP-2 | Dual CPU,No
Critical,9/20/2018 10:20:06,9/20/18 10:20,0:00:38,BLRBID-MCN-O-I614-01,Service-affecting,SNCG0-1-6,SNCG Unavailable,SNCGU,No,No,Processing,Supporting Resource Unavailable,SP-2 | Dual CPU,No
Major,9/20/2018 10:20:06,9/20/18 10:20,0:00:14,BLRJYN-MCM-O-I614-01,Service-affecting,OPTMON-2-1-23,Loss Of Signal,LOS_OTS,No,No,Communication,Signal Fail,CCMD12 | C-Band,No
Major,9/20/2018 10:20:06,9/20/18 10:20,0:00:01,BLRJYN-MCM-O-I614-01,Service-affecting,AMP-2-1-26,Shutoff Threshold Crossed,STC_OTS,No,No,Communication,Signal Fail,CCMD12 | C-Band,No
Minor,9/20/2018 10:20:10,9/20/18 10:20,0:00:24,BLRJYN-MCM-O-I614-01,Non service-affecting,OPTMON-1-10-5,Gauge Threshold Crossing Alert Summary,T_TSUM_OTS,No,No,Performance,Threshold Crossed,WSS Flex | C-Band w/OPM | 9x1,No
Minor,9/20/2018 10:20:11,9/20/18 10:20,0:00:11,BLRJYN-MCM-O-I614-01,Non service-affecting,OPTMON-2-11-5,Gauge Threshold Crossing Alert Summary,T_TSUM_OTS,No,No,Performance,Threshold Crossed,WSS Flex | C-Band w/OPM | 9x1,No
Minor,9/20/2018 10:20:11,9/20/18 10:20,0:00:24,BLRJYN-MCM-O-I614-01,Non service-affecting,OPTMON-3-9-5,Gauge Threshold Crossing Alert Summary,T_TSUM_OTS,No,No,Performance,Threshold Crossed,WSS Flex | C-Band w/OPM | 9x1,No
Minor,9/20/2018 10:20:22,9/20/18 10:20,0:00:35,BLRVNG-MCN-O-I614-01,Non service-affecting,DOC-3-1,DOC Action: Channel Add In Progress,CHADD_IP,No,No,Processing,DOC Channel Add In Progress,SP-2 | Dual CPU,No
Minor,9/20/2018 10:20:24,9/20/18 10:21,0:00:39,BLRVNG-MCN-O-I614-01,Non service-affecting,DOC-1-2,DOC Action: Channel Add In Progress,CHADD_IP,No,No,Processing,DOC Channel Add In Progress,SP-2 | Dual CPU,No
Minor,9/20/2018 10:20:30,9/20/18 10:21,0:00:59,BLRJYN-MCM-O-I614-01,Non service-affecting,OPTMON-2-11-5,Gauge Threshold Crossing Alert Summary,T_TSUM_OTS,No,No,Performance,Threshold Crossed,WSS Flex | C-Band w/OPM | 9x1,No
Critical,9/20/2018 10:20:39,9/20/18 10:20,0:00:03,BLRDME-MCM-O-I614-01,Service-affecting,OTM4-2-10-1,Loss Of Channel,LOCH,No,No,Communication,Signal Fail,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Major,9/20/2018 10:20:42,9/20/18 10:20,0:00:01,BLRDME-MCM-O-I614-01,Service-affecting,OTM4-2-10-1,Rx Channel Power Out Of Range,RX_CH_PWR_OOR,No,No,Equipment,Receive Power Range Exceeded,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Critical,9/20/2018 10:20:42,9/20/18 10:20,0:00:01,BLRDME-MCM-O-I614-01,Service-affecting,OTM4-2-10-1,Loss Of Clock,RTCLK,No,No,Timing,Real Time Clock Failure,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Minor,9/20/2018 10:20:43,9/20/18 10:20,0:00:08,BLRDME-MCM-O-I614-01,Non service-affecting,OTM4-2-10-1,OTU BDI,BDI_OTU,No,No,Communication,Backward Defect Indication,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Minor,9/20/2018 10:20:43,9/20/18 10:20,0:00:08,BLRDME-MCM-O-I614-01,Non service-affecting,OTM4-2-10-1,ODU BDI,BDI_ODU,No,No,Communication,Backward Defect Indication,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
