Severity,Raise time ( GMT ),System type,System name,Component,Description,Acknowledged,Annotation,Additional text,Alarm type,Probable cause,Equipment type,Clear time ( GMT ),Cleared by,CLFI,Supression Flag
MINOR,28-10-2018 18:57,OME6500,BLRDME-MCM-O-I614-01,OPTMON-1-9-3,T_TSUM_OTS,No,No,Gauge Threshold Crossing Alert Summary,PERFORMANCE,Threshold Crossed,WSS Flex | C-Band w/OPM | 9x1,28-10-2018 18:57,,,No
MINOR,28-10-2018 18:57,OME6500,BLRDME-MCM-O-I614-01,OPTMON-2-11-3,T_TSUM_OTS,No,No,Gauge Threshold Crossing Alert Summary,PERFORMANCE,Threshold Crossed,WSS Flex | C-Band w/OPM | 9x1,28-10-2018 18:57,,,No
MAJOR,28-10-2018 18:57,OME6500,BLRDME-MCM-O-I614-01,AMP-1-1-26,STC_OTS,No,No,Shutoff Threshold Crossed,COMMUNICATION,Signal Fail,CCMD12 | C-Band,28-10-2018 18:57,,,No
MAJOR,28-10-2018 18:57,OME6500,BLRDME-MCM-O-I614-01,OPTMON-1-1-23,LOS_OTS,No,No,Loss Of Signal,COMMUNICATION,Signal Fail,CCMD12 | C-Band,28-10-2018 18:57,,,No
MAJOR,28-10-2018 18:57,OME6500,BLRVNG-MCN-O-I614-01,OPTMON-1-1-21,LOS_OTS,No,No,Loss Of Signal,COMMUNICATION,Signal Fail,CCMD12 | C-Band,28-10-2018 18:57,,,No
MAJOR,28-10-2018 18:57,NMS,mumair-cien-1ctrl-1,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 18:59,,,No
MAJOR,28-10-2018 18:57,NMS,ndan50-cien-1ctrl-2,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 18:59,,,No
MAJOR,28-10-2018 18:57,OME6500,BLRDME-MCM-O-I614-01,OPTMON-1-11-3,LOS_OTS,No,No,Loss Of Signal,COMMUNICATION,Signal Fail,WSS Flex | C-Band w/OPM | 9x1,28-10-2018 18:57,,,No
MAJOR,28-10-2018 18:57,OME6500,BLRDME-MCM-O-I614-01,OPTMON-1-9-3,LOS_OTS,No,No,Loss Of Signal,COMMUNICATION,Signal Fail,WSS Flex | C-Band w/OPM | 9x1,28-10-2018 18:57,,,No
MAJOR,28-10-2018 18:57,OME6500,BLRDME-MCM-O-I614-01,AMP-1-4-8,IN_LOS_OTS,No,No,Input Loss Of Signal,COMMUNICATION,Signal Fail,MLA3 | C-Band,28-10-2018 18:57,,,No
MAJOR,28-10-2018 18:57,OME6500,BLRDME-MCM-O-I614-01,AMP-1-4-8,STC_OTS,No,No,Shutoff Threshold Crossed,COMMUNICATION,Signal Fail,MLA3 | C-Band,28-10-2018 18:57,,,No
MAJOR,28-10-2018 18:57,OME6500,BLRDME-MCM-O-I614-01,OPTMON-2-11-3,LOS_OTS,No,No,Loss Of Signal,COMMUNICATION,Signal Fail,WSS Flex | C-Band w/OPM | 9x1,28-10-2018 18:57,,,No
MINOR,28-10-2018 18:56,OME6500,BLRDME-MCM-O-I614-01,DOC-1-1,CHDEL_IP,No,No,DOC Action: Channel Delete In Progress,PROCESSING,DOC Channel Delete In Progress,SP-2 | Dual CPU,28-10-2018 18:57,,,No
MINOR,28-10-2018 18:56,OME6500,DELGRI-MCD-O-I614-01,DOC-1-1,CHDEL_IP,No,No,DOC Action: Channel Delete In Progress,PROCESSING,DOC Channel Delete In Progress,,28-10-2018 18:56,,,No
MINOR,28-10-2018 18:56,OME6500,BLRVNG-MCN-O-I614-01,DOC-1-1,CHDEL_IP,No,No,DOC Action: Channel Delete In Progress,PROCESSING,DOC Channel Delete In Progress,SP-2 | Dual CPU,28-10-2018 18:56,,,No
MINOR,28-10-2018 18:56,OME6500,BLRJYN-MCM-O-I614-01,DOC-2-1,CHDEL_IP,No,No,DOC Action: Channel Delete In Progress,PROCESSING,DOC Channel Delete In Progress,SP-2 | Dual CPU,28-10-2018 18:56,,,No
MINOR,28-10-2018 18:56,OME6500,BLRJYN-MCM-O-I614-01,DOC-3-2,CHDEL_IP,No,No,DOC Action: Channel Delete In Progress,PROCESSING,DOC Channel Delete In Progress,SP-2 | Dual CPU,28-10-2018 18:56,,,No
CRITICAL,28-10-2018 18:56,OME6500,BLRAID-MCD-O-I614-01,OTM2-2-10-10,LOS_OTU,No,No,Loss Of Signal,COMMUNICATION,Signal Fail,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:59,,,No
MAJOR,28-10-2018 18:55,OME6500,BLRDME-MCM-O-I614-01,OPTMON-1-5-22,LOS_OTS,No,No,Loss Of Signal,COMMUNICATION,Signal Fail,WSS Flex | C-Band w/OPM | 9x1,28-10-2018 18:56,,,No
